TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,IP Address,TransactionDuration,AccountBalance,PreviousTransactionDate
TX000001,AC00128,14.09,4/11/2023 16:29,Debit,San Diego,162.198.218.92,81,5112.21,11/4/2024 8:08
TX000002,AC00455,376.24,6/27/2023 16:44,Debit,Houston,13.149.61.4,141,13758.91,11/4/2024 8:09
TX000003,AC00019,126.29,7/10/2023 18:16,Debit,Mesa,215.97.143.157,56,1122.35,11/4/2024 8:07
TX000004,AC00070,184.5,5/5/2023 16:32,Debit,Raleigh,200.13.225.150,25,8569.06,11/4/2024 8:09
TX000005,AC00411,13.45,10/16/2023 17:51,Credit,Atlanta,65.164.3.100,198,7429.4,11/4/2024 8:06
TX000006,AC00393,92.15,4/3/2023 17:15,Debit,Oklahoma City,117.67.192.211,172,781.68,11/4/2024 8:06
TX000007,AC00199,7.08,2/15/2023 16:36,Credit,Seattle,140.212.253.222,139,13316.71,11/4/2024 8:10
TX000008,AC00069,171.42,5/8/2023 17:47,Credit,Indianapolis,92.214.76.157,291,2796.24,11/4/2024 8:10
TX000009,AC00135,106.23,3/21/2023 16:59,Credit,Detroit,24.148.92.177,86,9095.14,11/4/2024 8:11
TX000010,AC00385,815.96,3/31/2023 16:06,Debit,Nashville,32.169.88.41,120,1021.88,11/4/2024 8:06
TX000011,AC00150,17.78,3/14/2023 16:46,Credit,Albuquerque,213.15.9.253,59,7599.52,11/4/2024 8:06
TX000012,AC00459,190.02,2/6/2023 17:30,Debit,Memphis,116.175.11.222,173,1528.81,11/4/2024 8:07
TX000013,AC00392,494.52,6/7/2023 17:21,Credit,Mesa,210.98.198.143,111,1620.02,11/4/2024 8:08
TX000014,AC00264,781.76,11/20/2023 16:39,Debit,Memphis,193.83.0.183,123,189.69,11/4/2024 8:07
TX000015,AC00085,166.99,2/13/2023 16:53,Debit,Louisville,188.124.181.12,134,299.93,11/4/2024 8:10
TX000016,AC00270,465.45,12/12/2023 16:23,Debit,Denver,221.169.49.152,129,3465.54,11/4/2024 8:12
TX000017,AC00317,555.8,10/30/2023 16:52,Credit,Austin,53.218.177.171,158,1131.26,11/4/2024 8:07
TX000018,AC00359,492.93,12/14/2023 18:32,Debit,Columbus,114.223.129.47,234,5109.97,11/4/2024 8:11
TX000019,AC00242,18.68,2/21/2023 16:56,Credit,Albuquerque,93.218.115.132,106,7948.37,11/4/2024 8:12
TX000020,AC00285,71.48,6/8/2023 18:18,Credit,Columbus,120.170.93.69,169,6568.59,11/4/2024 8:09
TX000021,AC00002,59.32,2/28/2023 16:36,Debit,Los Angeles,116.44.12.250,38,5750.89,11/4/2024 8:09
TX000022,AC00014,85.77,8/11/2023 18:31,Debit,Las Vegas,59.132.247.252,93,9146.19,11/4/2024 8:08
